[0.042s] Invoking command in '/workspaces/codespace/ros2/project/tutorial/build/examples_rclcpp_minimal_action_server': /usr/bin/cmake --build /workspaces/codespace/ros2/project/tutorial/build/examples_rclcpp_minimal_action_server -- -j16 -l16
[0.184s] [ 25%] [32mBuilding CXX object CMakeFiles/action_server_member_functions.dir/member_functions.cpp.o[0m
[0.184s] [ 50%] [32mBuilding CXX object CMakeFiles/action_server_not_composable.dir/not_composable.cpp.o[0m
[6.146s] [ 75%] [32m[1mLinking CXX executable action_server_not_composable[0m
[6.426s] [100%] [32m[1mLinking CXX executable action_server_member_functions[0m
[6.449s] [100%] Built target action_server_not_composable
[6.677s] [100%] Built target action_server_member_functions
[6.694s] Invoked command in '/workspaces/codespace/ros2/project/tutorial/build/examples_rclcpp_minimal_action_server' returned '0': /usr/bin/cmake --build /workspaces/codespace/ros2/project/tutorial/build/examples_rclcpp_minimal_action_server -- -j16 -l16
[6.726s] Invoking command in '/workspaces/codespace/ros2/project/tutorial/build/examples_rclcpp_minimal_action_server': /usr/bin/cmake --install /workspaces/codespace/ros2/project/tutorial/build/examples_rclcpp_minimal_action_server
[6.734s] -- Install configuration: ""
[6.734s] -- Execute custom install script
[6.736s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_action_server/lib/examples_rclcpp_minimal_action_server/action_server_not_composable
[6.748s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_action_server/lib/examples_rclcpp_minimal_action_server/action_server_member_functions
[6.760s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_action_server/share/ament_index/resource_index/package_run_dependencies/examples_rclcpp_minimal_action_server
[6.784s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_action_server/share/ament_index/resource_index/parent_prefix_path/examples_rclcpp_minimal_action_server
[6.801s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_action_server/share/examples_rclcpp_minimal_action_server/environment/ament_prefix_path.sh
[6.816s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_action_server/share/examples_rclcpp_minimal_action_server/environment/ament_prefix_path.dsv
[6.828s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_action_server/share/examples_rclcpp_minimal_action_server/environment/path.sh
[6.842s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_action_server/share/examples_rclcpp_minimal_action_server/environment/path.dsv
[6.857s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_action_server/share/examples_rclcpp_minimal_action_server/local_setup.bash
[6.874s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_action_server/share/examples_rclcpp_minimal_action_server/local_setup.sh
[6.884s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_action_server/share/examples_rclcpp_minimal_action_server/local_setup.zsh
[6.895s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_action_server/share/examples_rclcpp_minimal_action_server/local_setup.dsv
[6.906s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_action_server/share/examples_rclcpp_minimal_action_server/package.dsv
[6.917s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_action_server/share/ament_index/resource_index/packages/examples_rclcpp_minimal_action_server
[6.932s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_action_server/share/examples_rclcpp_minimal_action_server/cmake/examples_rclcpp_minimal_action_serverConfig.cmake
[6.948s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_action_server/share/examples_rclcpp_minimal_action_server/cmake/examples_rclcpp_minimal_action_serverConfig-version.cmake
[6.963s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_action_server/share/examples_rclcpp_minimal_action_server/package.xml
[6.991s] Invoked command in '/workspaces/codespace/ros2/project/tutorial/build/examples_rclcpp_minimal_action_server' returned '0': /usr/bin/cmake --install /workspaces/codespace/ros2/project/tutorial/build/examples_rclcpp_minimal_action_server
