[0.061s] Invoking command in '/workspaces/codespace/ros2/project/tutorial/build/examples_rclcpp_minimal_service': /usr/bin/cmake --build /workspaces/codespace/ros2/project/tutorial/build/examples_rclcpp_minimal_service -- -j16 -l16
[0.165s] [ 50%] [32mBuilding CXX object CMakeFiles/service_main.dir/main.cpp.o[0m
[9.629s] [100%] [32m[1mLinking CXX executable service_main[0m
[10.178s] [100%] Built target service_main
[10.230s] Invoked command in '/workspaces/codespace/ros2/project/tutorial/build/examples_rclcpp_minimal_service' returned '0': /usr/bin/cmake --build /workspaces/codespace/ros2/project/tutorial/build/examples_rclcpp_minimal_service -- -j16 -l16
[10.430s] Invoking command in '/workspaces/codespace/ros2/project/tutorial/build/examples_rclcpp_minimal_service': /usr/bin/cmake --install /workspaces/codespace/ros2/project/tutorial/build/examples_rclcpp_minimal_service
[10.456s] -- Install configuration: ""
[10.458s] -- Execute custom install script
[10.459s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_service/lib/examples_rclcpp_minimal_service/service_main
[10.500s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_service/share/ament_index/resource_index/package_run_dependencies/examples_rclcpp_minimal_service
[10.514s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_service/share/ament_index/resource_index/parent_prefix_path/examples_rclcpp_minimal_service
[10.551s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_service/share/examples_rclcpp_minimal_service/environment/ament_prefix_path.sh
[10.575s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_service/share/examples_rclcpp_minimal_service/environment/ament_prefix_path.dsv
[10.619s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_service/share/examples_rclcpp_minimal_service/environment/path.sh
[10.662s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_service/share/examples_rclcpp_minimal_service/environment/path.dsv
[10.698s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_service/share/examples_rclcpp_minimal_service/local_setup.bash
[10.744s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_service/share/examples_rclcpp_minimal_service/local_setup.sh
[10.785s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_service/share/examples_rclcpp_minimal_service/local_setup.zsh
[10.834s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_service/share/examples_rclcpp_minimal_service/local_setup.dsv
[10.839s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_service/share/examples_rclcpp_minimal_service/package.dsv
[10.856s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_service/share/ament_index/resource_index/packages/examples_rclcpp_minimal_service
[10.889s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_service/share/examples_rclcpp_minimal_service/cmake/examples_rclcpp_minimal_serviceConfig.cmake
[10.905s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_service/share/examples_rclcpp_minimal_service/cmake/examples_rclcpp_minimal_serviceConfig-version.cmake
[10.922s] -- Symlinking: /workspaces/codespace/ros2/project/tutorial/install/examples_rclcpp_minimal_service/share/examples_rclcpp_minimal_service/package.xml
[10.953s] Invoked command in '/workspaces/codespace/ros2/project/tutorial/build/examples_rclcpp_minimal_service' returned '0': /usr/bin/cmake --install /workspaces/codespace/ros2/project/tutorial/build/examples_rclcpp_minimal_service
